entropy,mi,ami,dataset,name,length,vocab_size
0.0,0.0,-1.106673357279728e-17,shapeworld,concept,3,3
1.009677169432283,2.58966572956185,0.589603948148185,shapeworld,concept,5,5
4.170136667068061,4.911777372528719,0.3166876474658761,shapeworld,concept,20,100
3.925047183650715,4.8271909133421,0.2894918384949068,shapeworld,concept,20,1000
0.7959607590429512,0.6100485243676914,0.18791276061964124,shapeworld,setref,3,3
2.5043467829544332,2.7047885896507182,0.5182877607033379,shapeworld,setref,5,5
5.095960007725457,5.06903922748137,8.526968914168335e-06,shapeworld,setref,20,100
5.092597576644984,5.068703344259206,0.002128535249698196,shapeworld,setref,20,1000
1.3729521543538008,0.012895644732337761,0.005302420649554332,shapeworld_ref,ref,3,3
4.051634809793238,0.0661522534977208,0.014611252458133798,shapeworld_ref,ref,5,5
8.075271277750074,3.3554966195890494,0.0055894629477586414,shapeworld_ref,ref,20,100
8.084312205249061,3.3738602389548813,0.004237819569343773,shapeworld_ref,ref,20,1000
0.21401169389371794,1.0228254506921086,0.327556896546101,cub,concept,3,3
1.0936624895409859,2.1259472127880583,0.5112116089622002,cub,concept,5,5
5.450103068911386,4.091116709806296,0.1502347644540633,cub,concept,20,100
6.942782092469462,4.77813626150151,0.013416924233219033,cub,concept,20,1000
0.5951831544047079,0.9836365135045284,0.2984527955426448,cub,setref,3,3
2.669986515167886,2.059869507021309,0.40987101522820474,cub,setref,5,5
7.10239922686007,4.889381015214143,0.016762193722211896,cub,setref,20,100
7.003903003022249,4.7420148203803745,0.03185835852306444,cub,setref,20,1000
1.3770982190226657,0.37608372431541515,0.11084319718238705,cub,ref,3,3
4.1660044404224355,0.6936424340327545,0.11951907579414588,cub,ref,5,5
7.086691229399174,4.695428189399456,0.010070540247416458,cub,ref,20,100
7.1316010264241605,4.71470299823267,0.013127200102780767,cub,ref,20,1000
